lccn,issn,notes and questions,objectid,pres_file,display_template,parentid,object_location,filename,image_small,image_thumb,object_pdf,title,"note (marc 521, 550)african americans|http://id.worldcat.org/fast/799558",publisher,publisher_uri,frequency,issuance_start,issuance_end,rightsstatement,rights,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,image_alt_text,contributing_institution,contributing_institution_uri,collectionid,type,format,language,creator,contributor,date,description,disclaimer,extent,genre,genre_uri,subject,subject_uri,location,location_uri,latitude,longitude,coordinates,chronological_subject,ark,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
sn83025186,,,bystander1894061501,,complex,,,1894061501_0005.jp2,1894061501_0005_sm.jp2,1894061501_0005_th.jp2,1894061501.pdf,"Iowa State Bystander, June 15,1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-06-15,"Contents include but are not limited to the womens suffrage movement, office of county attorny canidates positions, information of the Tuskegee Industrial Institute, and the Afro-American Association meeting. ",,3 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; African American Association; United States. Congress,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/570350; http://id.worldcat.org/fast/529490,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894061501i1,,child,bystander1894061501,,1894061501_0005.jp2,1894061501_0005_sm.jp2,1894061501_0005_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894061501i2,,child,bystander1894061501,,1894061501_0006.jp2,1894061501_0006_sm.jp2,1894061501_0006_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894061501i3,,child,bystander1894061501,,1894061501_0007.jp2,1894061501_0007_sm.jp2,1894061501_0007_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,,,bystander1894062201,,complex,,,1894062201_0009.jp2,1894062201_0009_sm.jp2,1894062201_0009_th.jp2,1894062201.pdf,"Iowa State Bystander. volume 01, June 22, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-06-22,"Contents include but are not limited to congressional district nominations, segregation in schools, relgion in African American lives, and the American Railway Union sessions.",,3 pages,Newspapers,http://vocab.getty.edu/aat/300026656,Black people; African Americans; Education--Segregation; United States. Congress; African Americans--Religion; African Americans--Segregation,http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/1111221; http://id.worldcat.org/fast/529490; http://id.worldcat.org/fast/799689; http://id.worldcat.org/fast/799695,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894062201i1,,child,bystander1894062201,,1894062201_0009.jp2,1894062201_0009_sm.jp2,1894062201_0009_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894062201i2,,child,bystander1894062201,,1894062201_0010.jp2,1894062201_0010_sm.jp2,1894062201_0010_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894062201i3,,child,bystander1894062201,,1894062201_0011.jp2,1894062201_0011_sm.jp2,1894062201_0011_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894062201i4,,child,bystander1894062201,,1894062201_0012.jp2,1894062201_0012_sm.jp2,1894062201_0012_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,1095-9017,,bystander1894062901,,complex,,,1894062901_0013.jp2,1894062901_0013_sm.jp2,1894062901_0013_th.jp2,1894062901.pdf,"Iowa State Bystander. volume 01, June 29, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-06-29,"Contents include but are not limited to graduates, coal miners, the senate, medical research, agriculture, city budget, and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; United States. Congress. Senate; Economic policy; Coal miners; Public health,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/530422; http://id.worldcat.org/fast/902025; http://id.worldcat.org/fast/865316; http://id.worldcat.org/fast/1082238,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
